,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Intra-cortex
Cortex_1,0.0032879554955798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054063776724782145
Cortex_2,1.3647058038583155,0.5737256994209716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08186249193528601
Cortex_3,0.012849137566455143,0.07382222425968497,0.06322501741318175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006495313083698102
Cortex_4,0.024915026106902074,0.0642324218454063,7.109383628154207e-05,0.050376473783885906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007027525165053318
Cortex_5,0.00010044052315707453,0.0175684056611658,0.0035788731363538364,0.007301858875661146,0.027284564783871788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002627141650389057
Cortex_6,0.0,0.0,0.0,0.0,2.0192802963315565e-05,0.3410949213106134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022538039180234164
Cortex_7,0.0,0.0,0.0,0.0,1.4829583048516342e-09,0.035976213024328754,0.05969404475518592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007205620962270085
Cortex_8,2.0726071982464285e-06,0.0,2.3562547052536064e-06,2.887780617443878e-07,1.570411244435599e-05,0.039828699149291956,0.008682346394948704,0.06362649919693657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006529476973672893
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.012408282776735068,0.0001428434882349239,0.004603411619960736,0.03594459466548988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297044515672708
Cortex_10,0.0008996273695187946,0.0004504364864338694,0.00016004765639214465,1.3989220903744073e-05,2.1817936656242264e-05,0.00018199998594306465,2.239062075118208e-05,0.0003734822504969389,0.008965187700577087,0.09895860821323246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006173392669550958
