,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Intra-cortex
Cortex_1,0.03221523314015475,1.8892686060889485,0.03587823946657106,0.028292040282509708,0.0006896629123534417,0.0,0.0,0.0,0.0,0.0026147791400238213,0.007587044960207138,0.00249916662523342,0.003111986398558807,0.0036262169536906952,6.084398093263233e-06,0.00018594845223560654,5.6507997214793746e-05,0.02657945699758513,0.00010260027795538577,0.0004312231045420902,0.00044697862246700416,9.928247407964792e-05,0.020681898626321527,0.04777461398441702,0.01952698562012988,0.023701405286004153,0.012163513683869925,0.07990886946270989
Cortex_2,0.0,0.8258605199201834,0.06229860323991828,0.06449927831268448,0.019887279192265805,0.0,0.0,0.0,0.0,0.0004367522359944205,0.001884934955250767,0.0005888505813828644,0.002178185305261281,0.0014862942413772131,6.800729401466629e-05,1.11695214433396e-05,7.264554395381583e-05,0.008863430805197754,2.8525888372617188e-05,5.9452995559569915e-05,0.00015771459545811656,3.1100693017074374e-05,0.009932815188548712,0.009418234524855938,0.004611718212321514,0.004353234786515761,0.001431307792169406,0.1076825430338776
Cortex_3,0.0,0.0,0.04757353243632209,0.000698931741230743,0.0074207947377464625,0.0,0.0,0.0,0.0,0.00028237540622187246,0.0005951884010807626,0.00010262239478064557,0.0003704023357039837,0.0001793346313380645,0.00010295586970604012,0.0017932853908145948,0.00605720169498312,0.005348751006425527,2.249231783935026e-06,6.798495262585185e-06,7.104373148831274e-06,3.1101792443128207e-06,0.0,0.005009718824524418,0.001741147828513834,0.0014459085513272507,0.003652738988399483,0.006687814637964738
Cortex_4,0.0,0.0,0.0,0.043462680532485906,0.007352749684865114,1.5189536458949643e-05,0.0,0.0,0.0,5.576482134510305e-06,3.704493909952186e-05,2.4244595427565387e-05,0.014428279828903589,0.006048050188087892,0.0,5.672700811039711e-05,0.00013196397600039872,0.0006924021094746963,4.5785044936294645e-07,1.9000026296697264e-06,5.631001956302182e-06,7.534372343796902e-07,0.013792751760554221,0.00019003784297767716,0.0002756057899441414,0.0021566326903530784,0.0005618435763088715,0.006767806413699303
Cortex_5,0.0,0.0,0.0,0.0,0.03502863362037999,3.929793914920695e-05,0.0,2.4273181391919263e-05,0.0,2.8696133233732035e-05,6.808811704686968e-05,1.5024043999868633e-05,0.000699480176654917,0.005046735523692139,0.010060880799802495,0.0003507089342943299,0.004469796546054767,7.179205295202215e-05,1.1271180887382813e-06,1.3819999872388935e-06,2.435467299661674e-05,7.82406943287541e-05,0.000398443496225,0.0001854227382629392,0.00010051281839467487,5.414714965412499e-06,4.337750013089722e-05,0.003410821087009753
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.4046193530521237,0.03469933694580218,0.0373055439656389,0.014743015662686113,1.733843648383111e-05,4.299941438716792e-05,0.0013862165974612556,1.439428132243847e-09,0.00011571967410208795,1.2414099765010001e-05,0.017770129461580457,0.010753660893678543,0.0005386978074857315,5.230683257195717e-06,0.0,0.00019113707202791228,0.0007839796351421019,0.0007505085083557979,0.03496438058590038,0.020970931789184383,0.0015235679876423212,0.06290054672464464,0.023857377700458735
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.05770168988789987,0.015182323656154382,0.0003851528957640553,3.0457683847666387e-05,3.563723113744438e-06,0.0002937013865025729,5.5194907278947914e-05,9.075929893968742e-06,0.0,0.003250191358024096,2.9631282988161016e-05,0.004939356285249175,0.005024590467068495,0.0,0.00010579014762972172,0.0027930893721902273,0.00017956684804529188,0.02067943783759106,0.009786443918070875,0.0005278368059990143,0.02421275535005754,0.0066625624699693
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0663467838531385,0.0025074333131833984,7.636981494166362e-05,6.433766463434835e-05,0.0005636157619270168,2.4091765486185934e-05,0.0001733079458799151,8.092484937544835e-05,0.0005344270323730931,0.0008823241028006446,3.3461262349162086e-06,2.0463959111007236e-05,1.0219583701755951e-06,0.009799400971129768,0.010660878637272496,2.40121098410572e-05,0.007623753653484858,0.006072012542205181,0.0003284763243419151,0.011062777706495613,0.006272662996126386
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322509870633662,0.012156373118323623,0.00018061476425358788,0.010037771135527814,1.8700437067309374e-06,1.9613233189374413e-05,0.00011112140733018631,9.47834955240925e-06,0.007582316370354183,3.463865365259808e-06,0.0,0.0,0.00016776764281050527,9.671387270685776e-05,2.9487750907719502e-08,0.0016198520261227153,0.0044964897221308866,0.00010630198958097,0.001276361574173279,0.003250101019921447
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09234293282139215,0.028969639743093887,0.004658039445412624,7.086616124394895e-07,0.00015777786840866706,0.009453557526191377,0.00046112691872685156,0.0018267449723644714,7.326322639447182e-05,6.181183755710714e-06,2.6037064564696428e-06,0.000351709504578936,5.325961746532265e-05,0.0,0.0013985905640307625,0.004126318583496525,9.506506415034018e-05,0.0002712179640574107,0.005922127993436798
