,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.0750928088744665,3.653794426464206,0.06749557975350808,0.06144132647323749,0.0004781652694671472,5.530000198632501e-05,0.0,0.0,0.0,0.002376477095508043,0.0023959373102325405,0.003603315381852898,0.007190450369031643,0.00210784961677633,0.0,0.00026124801079277,0.0,0.08569698631979701,8.179700841992187e-05,0.0005222465150056141,0.00016598870032187693,0.0,0.0023553344967695,0.06505644567536319,0.02112260138275553,0.030829066294451785,0.01285550317553775
Cortex_2,0.0,1.5933825910522543,0.13228075026842648,0.13469599626027562,0.04042329844971556,0.0,0.0,0.0,0.0,0.0011799686863210588,0.001103542569363281,0.0012407896213635448,0.00812510951300474,0.0008165129967414288,0.00024375852990488,0.0,4.219491650776667e-06,0.017518904175431737,4.337828158895312e-06,0.0002799926771337678,0.00011469111059103828,0.0,0.03896981647910045,0.011120968537449835,0.006535208257426899,0.009343122429149062,0.0046150110514026664
Cortex_3,0.0,0.0,0.1587618901571316,0.0029514450024576556,0.011116888285940704,0.0,9.835870447137036e-06,0.0,0.0,0.0007032034385201238,0.0003843370469458132,0.0001313978650469603,0.0006462890087491347,0.00017095951513290152,2.3822223001937523e-05,0.0019870404362915626,0.02196515047230334,0.013422626616896222,3.7216405720130206e-07,1.1832981659538478e-06,3.995435067567828e-08,0.0,0.0,0.007008564647168457,0.0023959644306832642,0.0015528400008205118,0.005505928807641742
Cortex_4,0.0,0.0,0.0,0.10344086801173642,0.02184081894716083,0.0,0.0,0.0,0.0,6.757582256502441e-05,5.257221326943763e-05,0.00018430106469495477,0.03992124870747572,0.024347311018830663,0.0001401879089485187,1.2964713927689284e-06,0.0001610806533004621,0.002642617789897289,2.7692635074214732e-05,0.00010147643666340223,1.5383167935274243e-05,0.0,0.036762235043006415,0.0017478315577582075,0.0006647935180684536,0.003237328270778554,0.0004682392978533388
Cortex_5,0.0,0.0,0.0,0.0,0.08133090849561674,4.660586119926892e-05,4.9107068740719135e-06,3.615761423247746e-05,0.0,3.667594603665192e-05,6.240173455454187e-05,6.002496626967431e-05,0.0013044220675963829,0.016603702759014766,0.0159767701703866,7.913416631784648e-05,0.006147211204277742,5.622907065419809e-05,0.0,6.885477772212721e-06,5.671574107520679e-06,3.944161842918769e-05,0.0,0.0006589253072747453,0.00019087508849456282,4.232107635794326e-06,3.988677942996017e-06
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.9986902643285144,0.06225568487158557,0.08364867991058238,0.021783438260992417,0.00038720721184891,0.00041778920358064063,0.00039890250078359956,6.338362428550561e-05,0.0007184569927646222,0.0012025071434669577,0.0311529663867018,0.029156064508404717,0.00023913067394730998,3.426571916353937e-05,1.1923277472505555e-06,0.00014656142291985478,0.0004679544839894387,0.0013105321754154173,0.11234829562876056,0.033117865046453185,0.0033367865183587322,0.11052327549992261
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.12073965309331479,0.023586349851403295,0.00034232363967079437,5.478049659463935e-06,9.94836808685104e-06,6.83836481291963e-05,2.365877067313019e-05,6.472867162984463e-05,6.0071694916687116e-05,0.007251743044759119,0.00028081673173475854,0.015825783250499076,0.013939076221161674,7.371991261719511e-06,0.00020234877987629723,0.003124501257019172,0.0005910546495857905,0.05569976240491873,0.016871008498745683,0.0005836279091164723,0.04034178501787983
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10685103210177901,0.004122350252675039,0.0006107969182959223,0.0008735160451864481,0.0019906747303264334,6.487830731242637e-05,0.001666369835653741,0.0022340020002423206,0.0001825370757529738,0.0026821259822436792,7.734972354188187e-06,0.00014435077001233795,0.0,0.020201835912280003,0.016325085784093054,0.000282703101610025,0.01657132100800832,0.014464327490108373,0.0002771214677963482,0.014929037340108408
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09190073876409077,0.025784769303042427,0.0004282308747320888,0.02374089155296431,2.5746443463958196e-05,6.253625497727263e-05,0.0005072777121009824,1.2183912349427836e-05,0.005050087491510984,0.0,8.982933240986093e-06,0.0,7.813629835769192e-05,0.0001410107870536805,0.0,0.0017614480533836448,0.016956750496182213,3.693774942803425e-07,0.00032014357202570003
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21993500695706775,0.05818394201630263,0.013621273353794629,1.145553402486494e-05,0.0001536497046953175,0.021539004439006457,0.00017544658622745314,0.005426393299015418,8.964948843460293e-05,1.1013745701607682e-05,0.00015298762252317685,0.0006026057357357491,1.8465055001177627e-05,0.0,0.002592828946606257,0.018261990490759352,0.0006193778806066643,0.0007743435146819214
Cortex_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12153171229065568,0.016640251269953134,0.00012237816962112728,0.04943128795300828,0.04572118181953229,6.008336047068736e-05,0.0014443839389737376,3.557007558185807e-05,1.1216529514967969e-05,1.8923762430251798e-05,0.0005789686104706875,0.00010157261755260527,5.01978138345e-06,0.0005833743239470566,0.00046106221399210587,3.1122546715776564e-05,0.0
Cortex_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063399137424933,0.0007551755437043003,0.011542245353417887,0.00014533919521473123,2.9201867031723263e-05,8.585468494428115e-05,4.5713245893784935e-05,0.0011468144171263947,0.010230279304472855,0.015217464806999826,3.71556972870417e-05,2.425499986043646e-10,0.0023337659931588167,0.03246406262504575,0.0031230596104239697,3.582275045725e-05
Cortex_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07217415704362234,0.0442567531637985,0.0002714889463628175,6.959554385232938e-07,0.000227825355416743,0.005448464895803528,0.00015585296933904656,0.00024216697584871334,4.473933181732909e-05,7.908964990407687e-05,0.008858034702659941,0.0031583370470511323,0.0014194165494850989,0.24410727501476287,0.04050680155684341
Cortex_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11300595562223337,0.021069918621857427,1.47884098893763e-05,0.0014332448795127337,9.705940278364372e-06,0.0004505704343729045,0.000948043861792613,0.00041393320048089936,0.0010216098152505996,3.637312602221875e-06,0.003577209922277655,0.0037853373376757473,0.026053707974646328,9.88319502539472e-05
Cortex_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13809251234981496,8.274950842860381e-05,0.049480590619299464,1.5211928171974259e-05,0.0,0.0,0.0009356191269288286,0.000560262735609655,8.12579964986e-06,0.0004516991401405966,0.00016547866421631993,0.0,0.00020355419546831
Cortex_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10278575432742151,0.0407471197049828,0.01153374827547706,6.31026630354017e-05,0.0,7.351222059999722e-06,9.233017909556634e-05,0.00011633061081782329,0.011304489638028655,0.002829880406504885,0.00025728045608132454,0.01282382088096797
Cortex_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307650602307488,0.0008667840655515983,2.9459686629706247e-06,7.704972328307723e-08,0.00021435253087541452,0.0005911996364983045,4.370620982889576e-05,0.0013042289090515382,0.0007931754275316827,5.2728384956421795e-05,0.0006165738046114023
Cortex_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07382752414767431,0.002819178528830252,1.2292075935212801e-05,0.0,7.573804039429034e-06,2.3514614440499998e-05,0.003525261809777222,0.001401045092598172,0.013955823375240688,0.0012304511227651154
